Country_ID,zlene,COUNTRY
PKN,-0.14,PK
PKN,-1.19,PK
PKN,-0.53,PK
PKN,-0.79,PK
PKN,0.27,PK
PKN,-2.87,PK
PKN,-0.82,PK
PKN,-2.17,PK
PKN,-0.08,PK
PKN,-0.14,PK
PKN,-1.56,PK
PKN,-2.8,PK
PKN,-0.65,PK
PKN,-2.92,PK
PKN,-0.4,PK
PKN,-1.34,PK
PKN,-1.4,PK
PKN,-0.74,PK
PKN,-0.85,PK
PKN,-1.11,PK
PKN,-2.13,PK
PKN,-0.53,PK
PKN,-2.51,PK
PKN,0.62,PK
PKN,-1.65,PK
PKN,-0.79,PK
PKN,-2.13,PK
PKN,-0.94,PK
PKN,-1.04,PK
PKN,-0.45,PK
PKN,-0.73,PK
PKN,-0.26,PK
PKN,1.73,PK
PKN,-0.39,PK
PKN,-1.12,PK
PKN,0.53,PK
PKN,1.16,PK
PKN,0.25,PK
PKN,-0.2,PK
PKN,-1.98,PK
PKN,0.71,PK
PKN,0.16,PK
PKN,-0.26,PK
PKN,-1.64,PK
PKN,0.79,PK
PKN,-1.04,PK
PKN,-0.08,PK
PKN,-3.1,PK
PKN,-3,PK
PKN,-0.94,PK
PKN,0.28,PK
PKN,0.36,PK
PKN,-0.57,PK
PKN,0.78,PK
PKN,0,PK
PKN,-0.17,PK
PKN,0.87,PK
PKN,0.18,PK
PKN,-0.64,PK
PKN,-1.62,PK
PKN,0.45,PK
PKN,-0.17,PK
PKN,-0.89,PK
PKN,-1.38,PK
PKN,-1.75,PK
PKN,-0.31,PK
PKN,-0.52,PK
PKN,-1.15,PK
PKN,-2.58,PK
PKN,1.92,PK
PKN,-1.57,PK
PKN,-1.75,PK
PKN,-0.6,PK
PKN,-3.04,PK
PKN,-1.2,PK
PKN,-0.69,PK
PKN,-0.95,PK
PKN,0.23,PK
PKN,-1.5,PK
PKN,-1.29,PK
PKN,-1.22,PK
PKN,-2.25,PK
PKN,-1.47,PK
PKN,-1.14,PK
PKN,0.81,PK
PKN,-2.6,PK
PKN,-1.32,PK
PKN,-0.7,PK
PKN,-0.6,PK
PKN,-3.6,PK
PKN,-1.9,PK
PKN,-2.23,PK
PKN,-1.15,PK
PKN,-2.35,PK
PKN,0.63,PK
PKN,-2.47,PK
PKN,-0.73,PK
PKN,-3.2,PK
PKN,-2.13,PK
PKN,-2.87,PK
PKN,-2.39,PK
PKN,-1.55,PK
PKN,0.52,PK
PKN,-1.3,PK
PKN,-2.18,PK
